WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (106.1165999 -6.3288258)",1537.0,16.0,Kabupaten Pandeglang,3601.0,2.0,-6.3288258,106.1165999,1.0
"POINT (106.2522143 -6.5643956)",1538.0,16.0,Kabupaten Lebak,3602.0,2.0,-6.5643956,106.2522143,1.0
"POINT (106.5596195 -6.1625187)",1539.0,16.0,Kabupaten Tangerang,3603.0,2.0,-6.1625187,106.5596195,1.0
"POINT (105.9889373 -6.1654902)",1540.0,16.0,Kabupaten Serang,3604.0,2.0,-6.1654902,105.9889373,1.0
"POINT (106.6396995 -6.1708816)",1541.0,16.0,Kota Tangerang,3671.0,2.0,-6.1708816,106.6396995,1.0
"POINT (106.0576721 -6.0210797)",1542.0,16.0,Kota Cilegon,3672.0,2.0,-6.0210797,106.0576721,1.0
"POINT (106.150299 -6.12009)",1543.0,16.0,Kota Serang,3673.0,2.0,-6.12009,106.150299,1.0
