WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (106.520974 -5.8034366)",1465.0,11.0,Kabupaten Kepulauan Seribu,3101.0,2.0,-5.8034366,106.520974,1.0
"POINT (106.8084299 -6.2628455)",1466.0,11.0,Kota Jakarta Selatan,3174.0,2.0,-6.2628455,106.8084299,1.0
"POINT (106.9026785 -6.2257081)",1467.0,11.0,Kota Jakarta Timur,3175.0,2.0,-6.2257081,106.9026785,1.0
"POINT (106.8290358 -6.1825319)",1468.0,11.0,Kota Jakarta Pusat,3171.0,2.0,-6.1825319,106.8290358,1.0
"POINT (106.7638045 -6.1678547)",1469.0,11.0,Kota Jakarta Barat,3173.0,2.0,-6.1678547,106.7638045,1.0
"POINT (106.900447 -6.1488247)",1470.0,11.0,Kota Jakarta Utara,3172.0,2.0,-6.1488247,106.900447,1.0
