WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (110.1682044 -7.844026)",1532.0,14.0,Kabupaten Kulon Progo,3401.0,2.0,-7.844026,110.1682044,1.0
"POINT (110.326558 -7.8754288)",1533.0,14.0,Kabupaten Bantul,3402.0,2.0,-7.8754288,110.326558,1.0
"POINT (110.6168921 -8.0305091)",1534.0,14.0,Kabupaten Gunung Kidul,3403.0,2.0,-8.0305091,110.6168921,1.0
"POINT (110.3650204 -7.8030066)",1536.0,14.0,Kota Yogyakarta,3471.0,2.0,-7.8030066,110.3650204,1.0
"POINT (110.335403 -7.716165)",1767.0,14.0,Kabupaten Sleman,3404.0,2.0,-7.716165,110.335403,1.0
